,DRUG_NAME,mean,sd
GSK1904529A,GSK1904529A,4.389972814,1.093022873
GSK2578215A,GSK2578215A,4.990269484,0.994667616
GSK2606414,GSK2606414,3.730766911,1.252428113
GSK343,GSK343,2.842752877,0.92682074
GSK591,GSK591,4.591852656,1.169814601
I-BET-762,I-BET-762,3.300645526,1.612500123
I-BRD9,I-BRD9,4.461489844,1.318536859
Ibrutinib,Ibrutinib,4.368532543,1.688442979
Ipatasertib,Ipatasertib,3.448974414,1.536172116
Irinotecan,Irinotecan,2.787567138,1.935244972
IWP-2,IWP-2,2.829947489,0.887860956
Lapatinib,Lapatinib,3.107757682,1.60898696
LCL161,LCL161,4.893318011,1.067841636
Leflunomide,Leflunomide,5.030504391,0.870361472
LGK974,LGK974,4.070629949,1.102651817
Linsitinib,Linsitinib,3.850636352,1.299499745
LJI308,LJI308,5.1794958,1.022982233
Luminespib,Luminespib,-1.8348735,1.941838286
LY2109761,LY2109761,5.177766556,0.952047112
MG-132,MG-132,-1.45376595,0.909673203
MIM1,MIM1,3.991994254,1.179776615
MIRA-1,MIRA-1,5.444547637,1.214424159
Mirin,Mirin,4.928992267,1.243936172
Mitoxantrone,Mitoxantrone,0.613765844,2.223210019
MK-1775,MK-1775,0.750297494,1.400732641
MK-2206,MK-2206,3.075986693,1.66253797
MK-8776,MK-8776,3.128080371,1.656924021
ML323,ML323,4.563334383,1.058712183
MN-64,MN-64,4.724698134,1.067214182
Navitoclax,Navitoclax,1.929604083,2.015754095
Nelarabine,Nelarabine,5.967429878,1.086314754
Nilotinib,Nilotinib,3.456230738,1.868838317
Niraparib,Niraparib,4.235158964,1.495071086
Nutlin-3a (-),Nutlin-3a (-),4.680749378,1.714425488
NVP-ADW742,NVP-ADW742,2.949364477,1.472931096
Obatoclax Mesylate,Obatoclax Mesylate,1.4756784,1.114792
OF-1,OF-1,4.077175939,1.215014658
Olaparib,Olaparib,4.332277306,1.320607059
Osimertinib,Osimertinib,1.738254247,1.27932294
OTX015,OTX015,2.440475823,1.884333782
Oxaliplatin,Oxaliplatin,4.353966954,1.62908945
P22077,P22077,4.545769731,1.441062408
Paclitaxel,Paclitaxel,-2.420270824,2.181644003
Palbociclib,Palbociclib,3.719227135,1.600052761
PCI-34051,PCI-34051,4.510672923,1.297824981
PD0325901,PD0325901,0.326602599,1.67764114
PD173074,PD173074,3.993207073,1.499695039
Pevonedistat,Pevonedistat,0.922208428,2.172938351
PFI3,PFI3,5.293988095,0.885680005
Pictilisib,Pictilisib,1.530499445,1.369435424
PLX-4720,PLX-4720,4.420445877,1.418650278
Podophyllotoxin bromide,Podophyllotoxin bromide,-0.38216419,1.586497927
PRIMA-1MET,PRIMA-1MET,4.62929044,1.849670294
PRT062607,PRT062607,3.364849451,1.400682419
Pyridostatin,Pyridostatin,3.515001039,1.310275452
Rapamycin,Rapamycin,-2.169887662,1.486647265
Ruxolitinib,Ruxolitinib,4.779855315,1.110755507
RVX-208,RVX-208,4.767335991,1.092906725
Sabutoclax,Sabutoclax,-0.31149138,1.37871523
Sapitinib,Sapitinib,3.785121963,1.618524645
Savolitinib,Savolitinib,2.558879779,1.275092856
SCH772984,SCH772984,2.370844367,1.727533157
Selumetinib,Selumetinib,3.81937691,1.829660498
Sepantronium bromide,Sepantronium bromide,-4.046280902,1.559560245
Sinularin,Sinularin,3.573148057,0.984859383
Sorafenib,Sorafenib,2.671542409,1.351450356
Staurosporine,Staurosporine,-2.923895561,1.418154182
Talazoparib,Talazoparib,3.080064177,2.127776718
Tamoxifen,Tamoxifen,3.703722705,1.066551827
Taselisib,Taselisib,2.150057677,1.842139407
Telomerase Inhibitor IX,Telomerase Inhibitor IX,0.713305866,1.342911306
Temozolomide,Temozolomide,6.091004481,1.208703467
Teniposide,Teniposide,0.597035524,2.017870943
Topotecan,Topotecan,0.213216746,1.953595583
Trametinib,Trametinib,0.152321968,2.250511824
Ulixertinib,Ulixertinib,2.503750617,1.288411179
UMI-77,UMI-77,3.034163824,1.3544758
Uprosertib,Uprosertib,2.904919388,1.722930416
VE-822,VE-822,3.273281454,1.71058216
VE821,VE821,4.188370457,1.596102711
Venetoclax,Venetoclax,1.954630447,1.781764554
Vinblastine,Vinblastine,-3.282313858,2.277379453
Vincristine,Vincristine,-1.464530856,2.645785304
Vinorelbine,Vinorelbine,-2.771078124,2.200147805
Vorinostat,Vorinostat,1.650525906,1.145550384
VX-11e,VX-11e,2.816528009,1.406623919
Wee1 Inhibitor,Wee1 Inhibitor,2.26132856,1.587224763
WEHI-539,WEHI-539,3.316717015,1.733253672
WIKI4,WIKI4,3.760225414,0.924837851
Wnt-C59,Wnt-C59,4.283319701,1.118836663
WZ4003,WZ4003,3.890629986,1.357411367
XAV939,XAV939,4.42955469,0.953847812
YK-4-279,YK-4-279,2.529907015,1.756028952
Zoledronate,Zoledronate,3.821472592,0.940799899
OSI-027,OSI-027,4.241462073,1.703798807
Axitinib,Axitinib,3.48175986,1.133222495
AZD6482,AZD6482,3.364734951,1.62500118
AZD8055,AZD8055,0.048119347,1.398525077
Doramapimod,Doramapimod,4.514864512,0.93420406
GSK269962A,GSK269962A,3.093880786,1.030827827
JQ1,JQ1,2.698857905,1.579695715
KU-55933,KU-55933,4.780278952,1.129832551
NU7441,NU7441,2.917867286,1.071651695
PF-4708671,PF-4708671,3.854260071,0.935188471
Ribociclib,Ribociclib,4.106049805,0.945429701
RO-3306,RO-3306,3.297688643,1.172313127
SB216763,SB216763,5.453924813,1.302267151
Tozasertib,Tozasertib,3.82063669,1.553123448
ZM447439,ZM447439,3.189322905,1.182080695
BI-2536,BI-2536,0.822777947,2.375034889
BMS-754807,BMS-754807,0.460911,2.069482322
SB505124,SB505124,2.527375333,1.257459199
