"","LN_IC50"
"887",0.068029
"888",-1.837051
"889",2.614636
"890",2.177917
"891",3.356117
"892",-0.255224
"893",6.145932
"894",4.660234
"895",-0.802675
"896",4.758012
"897",2.841771
"898",-0.855669
"899",-0.100861
"900",-6.26774
"901",2.250684
"902",2.121866
"903",-2.407181
"904",1.168723
"905",3.362063
"906",2.579417
"907",-0.707373
"908",6.368729
"909",-1.671724
"910",-2.028824
"911",-5.204961
"912",0.354155
"913",1.916096
"914",3.1863115
"915",3.142883
"916",3.674157
"917",2.169513
"918",-4.931828
"919",-3.758388
"920",-3.611136
"921",1.07262
"922",0.449677
"923",1.204018
"924",4.00175
"925",4.073927
"926",3.924799
"927",2.410419
"928",5.64519
"929",1.056509
"930",4.492748
"931",7.750157
"932",-1.312146
"933",5.430393
"934",5.785527
"935",3.102992
"936",4.352914
"937",6.217471
"938",6.816208
"939",6.519807
"940",5.900333
"941",4.308167
"942",4.886765
"943",5.699567
"944",6.873936
"945",5.541298
"946",-1.588587
"947",7.893256
"948",5.610927
"949",6.848707
"950",-0.097291
"951",-2.683336
"952",-1.282337
"953",2.448545
"954",4.835348
"955",3.916161
"956",6.423122
"957",6.729015
"958",6.549294
"959",7.104261
"960",5.056728
"961",2.345024
"962",5.423234
"963",6.150568
"964",3.947784
"965",6.899928
"966",6.007264
"967",2.479259
"968",4.558967
"969",6.889035
"970",4.511503
"971",3.893253
"972",3.949403
"973",0.640182
"974",5.619055
"975",6.817981
"976",2.798372
"977",4.493534
"978",6.334955
"979",7.356621
"980",6.589639
"981",3.177597
"982",2.284256
"983",6.241668
"984",6.357502
"985",6.8135975
"986",5.515984
"987",3.277487
"988",6.633383
"989",6.096011
"990",0.889088
"991",7.806774
"992",5.510497
"993",6.146078
"994",6.844727
"995",0.238088
"996",5.781991
"997",4.863552
"998",6.766354
"999",3.287446
"1000",3.943611
"1001",0.738141
"1002",-0.740767
"1003",4.790535
"1004",5.359058
"1005",1.675453
"1006",4.70877
"1007",6.919007
"1008",5.097742
"1009",5.208982
"1010",6.759919
"1011",5.056521
"1012",7.799817
"1013",3.812228
"1014",5.380463
"1015",8.095432
"1016",6.760967
"1017",7.003619
"1018",5.520955
"1019",7.064616
"1020",6.588502
"1021",4.537985
"1022",7.149449
"1023",7.603518
"1024",6.903473
"1025",4.17096
"1026",4.36951
"1027",6.577825
"1028",5.965168
"1029",5.455461
"1030",6.623995
"1031",5.851045
"1032",8.707412
"1033",4.811403
"1034",2.73101
"1035",6.023486
"1036",6.378603
"1037",6.525421
"1038",3.815575
"1039",1.261405
"1040",3.934476
"1041",2.456639
"1042",9.143572
"1043",4.931229
"1044",6.725342
"1045",6.238592
"1046",6.549808
"1047",3.642255
"1048",7.494167
"1049",5.955984
"1050",0.828851
"1051",-0.773718
"1052",5.537453
"1053",2.214669
"1054",1.953626
"1055",2.0209
"1056",6.628305
"1057",4.112467
"1058",5.562209
"1059",2.159929
"1060",7.142354
"1061",8.11325
"1062",4.881329
"1063",8.477984
"1064",2.880926
"1065",6.471735
"1066",4.962716
"1067",3.669765
"1068",2.888522
"1069",1.959283
"1070",7.747364
"1071",6.740708
"1072",7.579965
"1073",5.21363
"1074",6.127854
"1075",6.635211
"1076",6.555643
"1077",7.271003
"1078",5.250492
"1079",6.887686
"1080",3.833835
"1081",5.072638
"1082",8.100946
"1083",6.897024
"1084",5.43979
"1085",4.102003
"1086",7.903287
"1087",2.860639
"1088",6.840575
"1089",2.613766
"1090",6.674673
"1091",8.033569
"1092",9.38824
"1093",4.215556
"1094",3.399759
"1095",3.383163
"1096",3.319573
"1097",5.916535
"1098",6.997313
"1099",3.40913
"1100",8.621277
"1101",4.101718
"1102",7.451586
"1103",7.3718
"1104",5.666717
"1105",4.148897
"1106",5.243198
"1107",7.247079
"1108",6.546398
"1109",4.045878
"1110",6.391004
"1111",7.852254
"1112",7.940072
"1113",1.730601
"1114",4.544198
"1115",7.108986
"1116",-0.509155
"1117",6.133469
"1118",7.534373
"1119",7.820078
"1120",2.39999
"1121",8.089546
"1122",4.741195
"1123",9.082069
"1124",5.161576
"1125",5.408327
"1126",0.653234
"1127",6.626638
"1128",6.88901
"1129",1.861313
"1130",4.314744
"1131",5.794835
"1132",2.845501
"1133",3.493055
"1134",-2.810803
"1135",5.378423
"1136",4.136962
"1137",-0.865448
"1138",5.898933
"1139",7.129511
"1140",4.248398
"1141",5.293294
"1142",8.517888
"1143",6.286754
"1144",5.247466
"1145",-1.1966
"1146",3.957148
"1147",8.068851
"1148",4.4881725
"1149",5.584856
"1150",5.737078
"1151",5.750005
"1152",2.385089
"1153",6.23746
"1154",2.394232
"1155",3.709997
"1156",3.205382
"1157",5.96432
"1158",6.919194
"1159",7.18892
"1160",5.896732
"1161",6.975943
"1162",7.574399
"1163",6.946244
"1164",6.361924
"1165",5.963042
"1166",2.479593
"1167",6.739114
"1168",2.009187
"1169",1.941503
"1170",4.928517
"1171",5.090507
"1172",2.145375
"1173",5.027541
"1174",5.1377
"1175",3.25619
"1176",1.953221
"1177",1.975445
"1178",5.712227
"1179",3.003876
"1180",1.683601
"1181",2.893129
"1182",3.856236
"1183",1.399991
"1184",2.874035
"1185",2.189214
"1186",1.84985
"1187",2.034155
"1188",0.344783
"1189",3.597281
"1190",4.101346
"1191",2.498038
"1192",1.228911
"1193",-5.129027
"1194",0.682934
"1195",-2.454797
"1196",6.373077
"1197",2.145227
"1198",5.458095
"1199",4.288122
"1200",4.806997
"1201",3.267792
"1202",5.441411
"1203",2.092677
"1204",-4.0962985
"1205",-1.687381
"1206",-0.482862
"1207",3.085654
"1208",-1.88672
"1209",-4.419201
"1210",3.343533
"1211",2.894902
"1212",3.296388
"1213",-1.501627
"1214",5.398763
"1215",6.373034
"1216",2.644263
"1217",5.362727
"1218",0.121124
"1219",4.6359955
"1220",3.748089
"1221",4.305596
"1222",-2.051207
"1223",0.135262
"1224",4.627906
"1225",5.363961
"1226",3.940174
"1227",3.496095
"1228",4.463106
"1229",3.973639
"1230",4.97378
"1231",6.574005
"1232",4.431291
"1233",2.653025
"1234",1.965414
"1235",2.21216
"1236",5.620947
"1237",4.970758
"1238",6.003321
"1239",3.799622
"1240",5.511603
"1241",-2.180883
"1242",6.458991
"1243",-2.646305
"1244",2.728986
"1245",6.132639
"1246",4.836983
"1247",2.374052
"1248",0.335417
"1249",3.341231
"1250",4.962018
"1251",6.23872
"1252",5.953743
"1253",1.345718
"1254",6.585693
"1255",4.555561
"1256",4.585146
"1257",5.832531
"1258",2.376631
"1259",0.64933
"1260",6.572559
"1261",3.907588
"1262",4.964684
"1263",2.75209
"1264",2.668225
"1265",5.555651
"1266",4.499437
"1267",-3.733837
"1268",3.951191
"1269",4.698444
"1270",0.496352
"1271",4.826512
"1272",0.121098
"1273",6.258885
"1274",1.846686
"1275",3.213999
"1276",-1.115648
"1277",3.106584
"1278",4.119502
"1279",3.728494
"1280",-1.665864
"1281",5.569832
"1282",5.034307
"1283",0.241885
"1284",4.894136
"1285",2.885371
"1286",2.526151
"1287",3.786197
"1288",-4.507631
"1289",3.581033
"1290",2.53145
"1291",-5.894978
"1292",3.23858
"1293",3.717157
"1294",4.422106
"1295",0.374862
"1296",5.9895
"1297",1.027913
"1298",-0.037107
"1299",0.681018
"1300",2.5732215
"1301",2.823572
"1302",3.571354
"1303",4.573864
"1304",4.638242
"1305",2.110096
"1306",-4.264354
"1307",-1.945853
"1308",-4.901078
"1309",1.197437
"1310",2.854991
"1311",2.095969
"1312",2.981245
"1313",3.324777
"1314",5.197105
"1315",3.193261
"1316",4.799518
"1317",1.25035
"1318",4.579607
"1319",4.000838
"1320",1.743843
"1321",6.273838
"1322",1.143341
"1323",1.107968
"1324",4.100541
"1325",5.394559
"1326",2.331587
"1327",1.81123
"1328",5.30426
"1329",1.45738
"1330",1.328947
"1331",1.255584
"1332",4.758906
"1333",2.833517
"1334",0.641321
"1335",2.188325
"1336",0.393084
"1337",2.655044
"1338",1.102843
"1339",1.961456
"1340",2.807676
"1341",5.44179
"1342",0.210262
"1343",-0.647641
"1344",2.10829
"1345",5.259072
"1346",3.436882
"1347",2.048407
"1348",-5.282821
"1349",-0.336348
"1350",-2.50228
"1351",6.298243
"1352",1.686647
"1353",3.307063
"1354",3.875403
"1355",4.810022
"1356",-0.237761
"1357",4.934148
"1358",5.051796
"1359",-4.9802545
"1360",-3.864633
"1361",0.339006
"1362",1.64513
"1363",-2.09288
"1364",-5.722991
"1365",4.688175
"1366",2.556527
"1367",3.872623
"1368",-1.672109
"1369",5.485478
"1370",5.657666
"1371",2.627805
"1372",4.242387
"1373",0.864471
"1374",3.2494085
"1375",3.061036
"1376",3.814241
"1377",-3.045156
"1378",-0.989998
"1379",4.591793
"1380",4.818617
"1381",3.046428
"1382",2.654209
"1383",3.606879
"1384",4.317125
"1385",4.075294
"1386",5.027236
"1387",1.723246
"1388",2.303608
"1389",3.084395
"1390",1.391909
"1391",5.260905
"1392",4.766563
"1393",4.214204
"1394",3.629345
"1395",4.256013
"1396",-3.289466
"1397",5.447778
"1398",-1.827506
"1399",3.099978
"1400",5.253903
"1401",4.585755
"1402",1.53073
"1403",-0.541583
"1404",0.715725
"1405",2.089307
"1406",3.904253
"1407",4.449062
"1408",1.21102
"1409",6.102442
"1410",1.102494
"1411",5.335973
"1412",4.385081
"1413",2.15669
"1414",1.451529
"1415",3.945266
"1416",3.246832
"1417",5.234252
"1418",1.880487
"1419",2.399057
"1420",4.5386965
"1421",3.640595
"1422",-4.55298
"1423",2.068322
"1424",5.362879
"1425",1.024292
"1426",2.656548
"1427",-0.027333
"1428",5.370219
"1429",-0.694037
"1430",4.520068
"1431",-1.298726
"1432",3.369921
"1433",3.024128
"1434",2.377984
"1435",-4.707942
"1436",4.601224
"1437",3.958504
"1438",-0.548536
"1439",5.064397
"1440",1.483192
"1441",3.445926
"1442",4.293118
"1443",-3.855494
"1444",4.164987
"1445",2.143465
"1446",-4.775051
"1447",1.726202
"1448",2.468106
"1449",0.818291
"1450",-0.217512
"1451",5.781225
"1452",-0.280506
"1453",-0.582813
"1454",1.266045
"1455",2.040871
"1456",2.931189
"1457",1.835931
"1458",4.51409
"1459",3.951009
"1460",1.691708
"1461",-4.637536
"1462",-2.527197
"1463",-3.8146
"1464",1.268532
"1465",1.332492
"1466",0.82339
"1467",4.234098
"1468",1.912774
"1469",4.093234
"1470",4.585589
"1471",3.84876
"1472",1.793641
"1473",3.750658
"1474",7.667027
"1475",4.405885
"1476",3.212429
"1477",-0.840938
"1478",2.060465
"1479",6.078519
"1480",4.408055
"1481",5.550529
"1482",1.744584
"1483",6.23183
"1484",6.57245
"1485",3.75071
"1486",5.066541
"1487",1.150063
"1488",6.626445
"1489",6.656089
"1490",3.130355
"1491",4.609018
"1492",2.778521
"1493",2.843262
"1494",3.066296
"1495",3.683023
"1496",2.270474
"1497",0.828185
"1498",5.095673
"1499",4.939404
"1500",4.666088
"1501",1.047488
"1502",3.556015
"1503",2.444862
"1504",5.387909
"1505",4.227372
"1506",4.459119
"1507",-2.493267
"1508",2.180279
"1509",3.556764
"1510",7.491122
"1511",3.318293
"1512",7.0966
"1513",4.858981
"1514",6.544966
"1515",4.949418
"1516",6.658911
"1517",6.168689
"1518",-0.783151
"1519",0.410027
"1520",5.269769
"1521",0.110265
"1522",-0.55928
"1523",-2.4532955
"1524",6.583857
"1525",3.924576
"1526",1.03277
"1527",5.23466
"1528",1.209408
"1529",5.728216
"1530",5.499295
"1531",2.864461
"1532",7.427341
"1533",4.066101
"1534",4.199863
"1535",3.704957
"1536",3.351428
"1537",6.165265
"1538",1.865405
"1539",3.788883
"1540",6.54863
"1541",3.917966
"1542",2.515137
"1543",4.290827
"1544",5.910821
"1545",3.863427
"1546",5.503234
"1547",1.221602
"1548",2.778995
"1549",6.499798
"1550",3.139449
"1551",3.742327
"1552",6.147059
"1553",0.017132
"1554",4.873502
"1555",5.772877
"1556",3.371874
"1557",5.467238
"1558",6.620679
"1559",-1.770203
"1560",6.99408
"1561",1.10739
"1562",5.188296
"1563",6.651213
"1564",5.826482
"1565",5.031742
"1566",2.91641
"1567",2.180794
"1568",5.615187
"1569",4.011298
"1570",3.728606
"1571",2.849717
"1572",7.126117
"1573",3.020439
"1574",5.101153
"1575",4.300862
"1576",6.519732
"1577",4.734991
"1578",1.970476
"1579",4.087169
"1580",5.980885
"1581",2.617206
"1582",-0.153458
"1583",3.39452
"1584",6.574697
"1585",3.837366
"1586",-2.095657
"1587",5.748736
"1588",6.28877
"1589",3.552785
"1590",5.728507
"1591",4.032734
"1592",3.597041
"1593",6.717168
"1594",1.285615
"1595",6.016857
"1596",0.311137
"1597",2.386696
"1598",6.005353
"1599",5.383817
"1600",-1.571408
"1601",4.367951
"1602",5.474518
"1603",6.189756
"1604",5.405221
"1605",1.235279
"1606",0.954036
"1607",3.334174
"1608",6.810106
"1609",4.65372
"1610",7.109479
"1611",-3.559094
"1612",3.910985
"1613",1.682216
"1614",-2.707231
"1615",6.507487
"1616",5.622806
"1617",1.079199
"1618",2.783384
"1619",8.260509
"1620",5.191368
"1621",5.683143
"1622",5.017323
"1623",4.003131
"1624",4.4603355
"1625",6.261936
"1626",2.490738
"1627",6.163539
"1628",6.479199
"1629",3.974257
"1630",-2.140396
"1631",0.164929
"1632",-1.084444
"1633",1.444003
"1634",5.310711
"1635",2.918898
