,ATTX.CRPC.102,ATTX.CRPC.107,ATTX.CRPC.29,ATTX.CRPC.35,ATTX.CRPC.36,ATTX.CRPC.43,ATTX.CRPC.47,ATTX.CRPC.78,ATTX.CRPC.81,ATTX.CRPC.89,ATTX.ENZR.100,ATTX.ENZS.101,ATTX.ENZR.103,ATTX.ENZR.104,ATTX.ENZR.105,ATTX.ENZS.106,ATTX.ENZS.17,ATTX.ENZR.21,ATTX.ENZR.23,ATTX.ENZS.28,ATTX.ENZR.33,ATTX.ENZS.45,ATTX.ENZS.49,ATTX.ENZS.56,ATTX.ENZS.57,ATTX.ENZS.6,ATTX.ENZR.64,ATTX.ENZR.65,ATTX.ENZR.72,ATTX.ENZR.75,ATTX.ENZS.76,ATTX.ENZS.79,ATTX.ENZS.80,ATTX.ENZR.87,ATTX.ENZR.94,ATTX.ENZR.95,ATTX.ENZR.98,ATTX.PRE-CX.111,ATTX.PRE-CX.112,ATTX.PRE-CX.4,ATTX.PRE-CX.5,ATTX.PRE-CX.53,ATTX.PRE-CX.58,ATTX.PRE-CX.62,ATTX.PRE-CX.67,ATTX.PRE-CX.9,ATTX.POST-CX.18,ATTX.POST-CX.44,ATTX.POST-CX.48,ATTX.POST-CX.66,ATTX.POST-CX.86,ATTX.POST-CX.91,ATTX.POST-CX.92,ATTX.POST-CX.99
KEGG_STEROID_HORMONE_BIOSYNTHESIS,-0.115776644,-0.372002999,-0.316052807,-0.011694145,-0.220307822,0.286581528,0.461022345,-0.199346516,0.242645888,-0.434899475,0.120986432,-0.155381263,0.517614919,-0.088889472,0.091224804,-0.407059937,0.040922582,-0.009593734,0.244542895,0.17599257,-0.316537882,0.069590829,-0.501254324,-0.227745095,-0.048243966,0.044389629,-0.324914049,-0.27409435,-0.235968856,0.354153821,-0.264827267,0.19082706,0.078901611,0.173404249,0.272807972,-0.150993448,-0.002083915,0.016154112,-0.10899691,0.247202716,0.319912937,-0.116708592,-0.008936594,-0.090233157,-0.058761361,0.248442735,-0.099190821,-0.177962012,0.085079878,-0.040250358,0.027322047,0.051625783,-0.061173407,-0.283904
KEGG_OXIDATIVE_PHOSPHORYLATION,0.170543329,0.254303488,-0.259302292,0.54047113,0.239538856,-0.030016459,0.524244138,0.294243877,0.584978889,0.347957138,0.05574068,0.119991333,-0.66419376,-0.361792281,-0.496214557,0.504972579,-0.5421159,-0.139303574,-0.468339128,-0.057014159,0.506586619,0.117611406,-0.198076338,-0.024965566,-0.243607012,-0.09277823,-0.31591177,-0.327636707,-0.340159721,-0.072155245,-0.448583421,0.335847241,-0.576479826,-0.695349812,-0.321067483,-0.212447251,-0.34681624,0.410667921,0.367887938,0.029116476,0.534605832,-0.008629317,0.624687212,0.118487224,-0.306228037,0.180955265,0.251991956,-0.370176779,-0.617086397,-0.046940541,-0.198748047,-0.655688326,-0.171331976,-0.120240885
KEGG_PURINE_METABOLISM,0.309383129,0.133893682,0.207774855,0.195969966,-0.075770105,-0.045835173,-0.026651125,0.215180488,0.431944926,0.096228397,0.128415643,-0.03048015,-0.350944816,0.194747498,-0.268239507,0.007514496,-0.313570533,-0.068045876,-0.518524758,-0.328200467,0.033657628,-0.277338928,-0.236555302,-0.196869313,-0.397088725,-0.262047078,-0.374181044,-0.385586891,-0.199785649,0.060963562,-0.391452185,-0.189750761,-0.320754236,-0.553506895,0.062895723,-0.147141671,-0.358246656,0.280095883,0.309917878,0.20357526,0.376286962,0.252572648,0.169067523,0.200978871,0.064945671,0.197551165,0.102978534,0.204169379,-0.320907738,0.132725805,0.004596834,-0.580349543,0.238266764,0.104631624
KEGG_PYRIMIDINE_METABOLISM,0.404789312,0.273679249,0.222512442,0.205240088,0.081802151,-0.176040274,0.030932777,0.303159019,0.503542293,0.292984602,0.110384014,-0.203911577,-0.496911687,0.210647134,-0.229582347,0.153326513,-0.366876103,-0.030587248,-0.641270331,-0.385475461,0.185900339,-0.314234357,-0.253723113,-0.068149094,-0.340600811,-0.391672616,-0.272737092,-0.42528757,-0.285689871,0.013596084,-0.450231703,-0.318679451,-0.402468373,-0.626858646,0.196009885,-0.258680779,-0.38368148,0.176767239,0.330614403,0.241985033,0.422609889,0.350842979,0.240316625,0.179812462,-0.019738129,0.102612919,0.289247418,0.182116375,-0.473963383,0.24723946,0.148595969,-0.624875753,0.283948727,0.058734718
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.293041403,-0.324882487,0.259643207,0.033118464,-0.027414949,0.012520571,-0.222439267,0.081127048,0.456431775,0.208977665,0.239379959,0.446922325,-0.076651663,0.035282191,0.338167199,0.056936995,-0.148973646,-0.315785099,-0.535912593,-0.322474948,-0.200898557,-0.02029172,0.146949212,-0.071660794,-0.244071246,-0.211946861,-0.412366327,-0.055586797,0.320261829,-0.096009683,-0.367304786,-0.163710645,-0.24261838,-0.472312964,-0.247735157,0.262497485,-0.299448068,-0.393166695,0.178419731,0.350724747,0.39324824,0.322415783,-0.232967961,0.161523612,-0.028896878,-0.063333485,-0.159591429,-0.117131846,-0.51027542,0.130912811,0.198835966,-0.492624073,0.254586828,0.01605454
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,-0.094125522,0.178853312,0.070265774,-0.050354557,0.079484153,-0.074015552,-0.203289385,0.179661525,0.368883279,0.127089972,0.051114173,0.294973894,-0.128734326,0.312131454,0.088759968,-0.01041373,-0.386715514,-0.047069634,-0.484399799,-0.031743358,0.183687402,-0.094604874,-0.095186417,-0.42408143,-0.377146151,-0.05911127,-0.336474652,-0.103715772,-0.006251585,-0.43071878,-0.00292338,-0.072692324,-0.307240247,-0.444473428,-0.089634748,0.127441417,-0.34998894,0.15677206,0.234720793,0.28724216,0.264754894,0.111402218,0.08798715,0.021356977,0.08753757,0.013907527,0.11412043,0.140239152,-0.292311119,0.271166407,0.09255043,-0.549918394,0.201898553,-0.064105452
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.179646952,0.111537784,0.384233358,0.159509673,0.058048163,0.106818228,-0.110583804,0.308670707,0.352675955,0.048279677,0.180276012,0.273782815,-0.414583156,0.092539625,-0.167073425,-0.06335904,-0.42110568,-0.298025379,-0.548290943,-0.348700977,-0.034597807,0.39776147,-0.32655944,-0.255575538,-0.402866342,-0.23579261,-0.259219936,-0.100656034,-0.153049214,0.046934678,-0.10452955,-0.285912958,-0.419470721,-0.465140887,-0.101980046,0.032912742,-0.190710418,0.278742021,0.437430046,0.461085416,0.468848256,0.396144766,0.071978714,0.149369827,0.224411459,0.223548175,0.203038154,0.093790879,-0.328989324,0.083664294,0.126355387,-0.597328546,0.137383292,-0.238015305
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.20769588,0.049567058,0.408600963,0.015241134,0.392866941,0.098456633,-0.259560284,0.443003025,0.234199587,0.522117375,0.207242681,0.457207762,-0.388238293,-0.150908336,0.383918141,0.363016241,-0.508656071,0.084685776,-0.581283609,-0.394307785,0.194101297,0.126442963,-0.222802243,0.171472204,-0.125420481,-0.148556943,-0.0174246,-0.107038086,0.059708177,-0.175991147,-0.312700096,-0.019691904,-0.466858238,-0.663278324,-0.315413266,0.158487698,-0.176102459,-0.340498809,0.227912065,0.291441857,0.262570046,0.360141542,-0.023994491,0.005008971,-0.405381103,-0.449319742,-0.198406819,-0.185171611,-0.554467807,-0.013556886,0.054164955,-0.625806295,0.234258286,0.177458905
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0.642081455,0.401652619,0.52003919,-0.198216796,0.254383628,0.467757785,-0.690710372,0.52666533,0.58320759,0.298879625,0.505261772,-0.09899568,-0.620800155,0.317433628,-0.219161947,-0.047366047,-0.881915802,0.637562911,-0.739034876,-0.563836146,0.430248708,-0.472165719,-0.632726274,-0.291188457,-0.285183638,-0.531862261,-0.256761914,-0.519047284,0.246510869,0.28994166,-0.544876974,-0.195900956,-0.759869492,-0.764438794,-0.203430592,-0.271354938,-0.465183488,-0.203870268,0.566130581,0.470250334,0.462274494,0.615384384,0.082547419,0.178195789,0.345139578,-0.429024664,0.432896389,0.309289063,-0.389554408,0.168832698,0.279431561,-0.6838643,0.398589416,0.264818282
KEGG_LYSINE_DEGRADATION,0.166958772,-0.189635502,0.485697435,-0.224161092,0.399571084,-0.035389561,-0.450018015,0.245318795,0.134953782,0.433944187,0.198855011,0.140715803,-0.488766041,0.001101782,0.250232982,0.008938578,-0.558513336,0.156525809,-0.617125324,-0.038293988,0.061142587,-0.039619601,-0.275902158,0.16181006,-0.042837203,-0.294062214,0.110930842,0.172638571,0.00444256,-0.187938327,-0.279722737,-0.224554726,-0.268812418,-0.639338086,-0.052779911,0.304721002,-0.353704464,-0.266936815,0.177618646,0.389882601,0.255024036,0.276665381,-0.369905163,0.029620114,-0.012712268,-0.318924307,0.109281846,0.323880383,-0.534565768,0.371681371,0.28787812,-0.659611483,0.404299227,0.288451082
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.26855872,0.042028478,0.11000957,0.062243467,0.060744384,-0.013994587,0.028927424,0.192017337,0.537686289,0.13807116,-0.061143135,0.259140958,-0.170186138,-0.103337523,-0.127403405,0.057121464,-0.336624989,-0.112108861,-0.493068533,-0.307203142,-0.011166925,-0.059973168,-0.135592279,-0.326753927,-0.353440962,-0.033718372,-0.426369846,-0.414539282,-0.096957388,0.053562111,-0.400916389,-0.134368817,-0.298230905,-0.49591944,-0.245786995,0.066423984,-0.355442764,0.089826372,0.41207008,0.446269276,0.498471249,0.285008655,0.277030149,0.325661435,0.20033642,0.19671451,-0.216028758,-0.146646035,-0.513482901,0.172970874,-0.063505245,-0.513377806,0.126018384,-0.095846618
KEGG_HISTIDINE_METABOLISM,-0.128086232,-0.224264901,0.308327148,-0.148697202,-0.011372472,0.096909602,0.016709143,-0.148565652,-0.112174518,0.181609759,-0.099122406,0.13332776,0.072064852,-0.420505376,0.073846892,0.264003435,0.129408338,0.217335173,-0.179655988,0.082125461,-0.003366106,-0.268947126,-0.088106226,0.166649025,0.10097415,0.176540726,-0.124319368,-0.196973704,-0.250514682,-0.033111082,-0.382644413,0.047571486,0.095337226,-0.384615758,-0.229047347,0.261636316,0.105341112,-0.419647393,0.030876002,0.363316883,0.359991637,-0.124572951,-0.132799962,-0.037286433,-0.355159275,0.13223997,0.001457934,-0.378144299,-0.402682613,-0.188025416,0.246911859,-0.336577027,0.00822177,-0.177003305
KEGG_TYROSINE_METABOLISM,-0.167933594,-0.190903447,0.142282217,0.120253577,-0.150543043,0.020996471,0.084227251,-0.120178432,0.084644123,-0.001512684,-0.129426492,0.172810477,-0.061867226,-0.379555738,0.035180846,0.232407584,0.054561079,0.147644749,-0.242972813,-0.047011605,0.180610181,-0.203472436,-0.186266822,0.05532754,-0.03116613,0.042174631,-0.092134352,-0.054326936,-0.391982298,0.120649789,-0.321645527,-0.082451426,-0.265259263,-0.310530075,-0.324750766,0.038928108,0.113584294,-0.043445154,0.314022542,0.343252478,0.343363944,0.129134868,0.21809477,0.069166316,-0.137696338,0.083377146,-0.147418469,-0.135592884,-0.352683485,-0.058138278,0.174698873,-0.241314691,0.105723975,-0.22078062
KEGG_PHENYLALANINE_METABOLISM,0.107589383,-0.015254379,0.248025017,0.128884784,-0.381396661,0.488260917,-0.293326812,-0.332001846,0.123445824,-0.300210341,-0.298144398,0.154843882,-0.31237904,-0.5674814,-0.028237164,-0.082652677,-0.19706268,0.37705834,-0.361668347,-0.03292432,0.277213055,-0.151475089,-0.135435735,-0.155005619,-0.199567886,-0.019226653,-0.07007089,-0.09360224,-0.553762448,-0.057272882,-0.273471221,-0.121047675,-0.109041648,-0.451519274,-0.467957904,0.150343738,0.136161481,-0.205914548,0.284771817,0.295417956,0.326265571,0.376151568,0.224558802,0.387814672,0.112675986,0.163611611,-0.112503272,-0.308392081,-0.340899946,0.001365169,0.456994687,-0.488864771,0.168209962,-0.380761938
KEGG_TRYPTOPHAN_METABOLISM,0.026549096,-0.27016646,0.193004297,0.344882483,0.158854342,0.27757847,0.235974985,0.101452942,0.224006934,0.005241054,-0.12635009,0.397448488,0.12773457,-0.262730184,0.232604845,-0.073092372,-0.105544299,0.013751668,-0.306828682,0.102531218,0.053678108,-0.084873446,-0.254479328,-0.023794629,-0.07152213,-0.100868911,-0.305259952,-0.166219482,-0.042325132,-0.125007916,-0.270194095,-0.180637976,-0.281520962,-0.31389405,-0.193780946,-0.02643115,-0.25779583,-0.293387377,-0.05228817,0.248257952,0.214860681,0.125834319,-0.101863282,-0.158146458,-0.287046916,0.011551731,-0.085493879,0.1226211,-0.191790607,0.003319621,0.1753051,-0.077343706,-0.095872784,0.087574625
KEGG_BETA_ALANINE_METABOLISM,0.310436973,-0.095596084,0.355694786,0.020469556,0.003570491,0.286873214,-0.080968748,0.382716471,0.041775048,-0.10748828,0.004999726,0.386050768,-0.172721125,-0.295354219,0.129043512,0.274270205,-0.272645458,0.146324162,-0.408989408,-0.010133116,0.076360069,0.085852505,-0.230029268,0.119962102,0.001271066,0.025789917,-0.255160505,-0.010886479,-0.139638314,-0.24765147,-0.319097334,-0.176622814,-0.072739236,-0.494652802,-0.374541488,0.246399573,-0.05411239,-0.386120394,-0.134320779,0.152116618,0.295065464,0.386215763,0.327047442,0.102982919,-0.102670798,-0.07408694,-0.280054765,-0.277230349,-0.464999663,0.105914023,-0.108822342,-0.385531249,-0.253404549,-0.271104119
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.001080922,-0.286460679,-0.293913538,-0.170445429,0.165178802,-0.308858295,-0.395339326,0.176719253,-0.123879817,-0.603757203,0.251641666,-0.317483116,0.271517688,-0.072199036,0.08945932,-0.118494951,0.140439542,0.248130069,-0.190249138,0.555434199,-0.192245344,-0.169570073,-0.057339484,-0.038016128,0.255402987,0.575039627,0.272453586,0.240362502,0.347960808,0.180395656,0.06681636,0.256088931,0.220583006,-0.333724234,0.362196481,0.18333684,0.095764804,-0.167257547,-0.186768795,-0.340841198,-0.400271077,-0.193380645,0.17358937,-0.20190071,-0.254173902,-0.401643921,-0.203232542,-0.306965755,-0.53461596,0.069814411,-0.174379276,-0.353730157,-0.223192042,0.197153889
KEGG_SELENOAMINO_ACID_METABOLISM,-0.090185293,-0.199813262,0.324970429,-0.068037562,0.124307166,-0.356060627,-0.164648783,0.24553219,0.074142067,0.240922305,0.089623139,-0.170823176,-0.14579377,-0.17417627,0.192417387,0.112326194,-0.215188053,0.018761069,-0.571852755,-0.126511713,0.020514457,-0.021391063,-0.157891583,0.197341528,-0.008592269,0.250439307,-0.097484642,-0.098074603,0.15595425,0.112774305,-0.299081016,-0.141175724,-0.304383587,-0.591551689,0.143831734,0.024220515,0.004476874,-0.008941572,0.258352913,0.351179394,0.187395936,0.112851993,0.024004915,-0.263156666,-0.212133413,-0.288007482,0.057857827,0.007877012,-0.597589903,0.325082306,0.147704909,-0.674631644,0.086187585,0.288483754
KEGG_GLUTATHIONE_METABOLISM,0.155418367,0.237073681,-0.053564271,0.26631665,0.181392832,0.110113689,0.177338556,0.270940773,0.410560072,-0.094173741,-0.319146155,-0.219676602,-0.001348972,-0.003754703,-0.180186085,-0.06617038,-0.194302513,-0.022388365,-0.487530207,-0.263858411,0.401054085,0.223483356,-0.208685083,-0.304522057,-0.212326667,-0.142912742,-0.325783036,-0.325560543,0.167475051,0.088738535,-0.343054421,-0.010277377,-0.363038216,-0.497056576,-0.148532882,-0.248415138,-0.14450368,0.181950398,0.174969341,0.317419048,0.437509094,-0.109226775,0.366760059,0.069948816,-0.076327454,0.087934435,0.03749471,0.024206847,-0.339276672,0.151252307,0.065168551,-0.552243823,0.107150899,-0.199309649
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.130084843,-0.288968832,0.152773714,-0.360513109,-0.378270744,0.197764636,0.053318892,-0.124913737,0.254634657,-0.234796514,0.155994134,-0.20517655,0.343362959,-0.073313477,0.221097724,-0.361568508,-0.099114822,0.088214073,0.069611262,0.189639493,-0.13639379,0.201934583,-0.315220027,-0.188632707,-0.108319139,0.120745363,-0.118073116,0.156839141,-0.024737751,0.347244919,-0.039613842,0.342930732,0.10618964,-0.026765297,0.258329547,0.079525338,-0.08786831,0.049515744,-0.107127733,0.100647347,0.058150344,0.097776819,-0.309404889,0.159757097,0.013688471,-0.138237105,-0.330900211,-0.293956026,-0.217099652,-0.078514369,-0.160719275,-0.226479656,0.017188646,-0.283544329
KEGG_N_GLYCAN_BIOSYNTHESIS,0.281451282,-0.368413592,0.144331482,-0.189491383,0.196871492,-0.578529211,-0.284684711,-0.170831036,0.243418978,0.191006363,-0.270466227,0.134536844,-0.410649426,-0.388149687,-0.171838089,0.394079199,0.035874745,0.179596468,-0.337876767,0.270477238,0.366172721,-0.096404685,0.121480172,0.294827267,0.24072096,0.103600932,0.211439013,-0.122345564,0.095853826,-0.198185032,-0.416256261,0.364877859,0.327797276,-0.711059791,0.230335974,0.281530933,0.163872564,-0.211983377,0.237162522,-0.074860615,0.267567865,0.210873859,0.189227016,-0.256806324,-0.090852259,-0.605713954,-0.426681335,-0.312679013,-0.618164992,-0.094338744,0.086136354,-0.553877461,0.236343319,0.145192387
KEGG_OTHER_GLYCAN_DEGRADATION,-0.508613412,-0.508044592,0.334871014,-0.557346365,0.320083933,-0.645971369,-0.379865453,-0.369097519,-0.285569858,-0.02277493,-0.294179181,0.499258794,0.387691354,-0.331245506,0.506601619,0.310777055,-0.029420614,0.434349408,0.309371067,0.614192232,0.470385853,0.234131146,0.418137919,0.391145326,0.512745051,0.251804009,0.514850779,0.16879338,0.631441765,-0.630100138,-0.224662779,0.543199076,0.475521472,-0.602409313,0.13531143,0.232321321,0.22654319,-0.583551761,-0.587880551,-0.265791886,-0.495045474,-0.331513245,-0.328882622,-0.291617848,-0.38713107,-0.491338718,-0.41686239,-0.331944375,-0.603412928,0.151176493,0.124558193,-0.423751552,0.387821394,-0.35203976
KEGG_O_GLYCAN_BIOSYNTHESIS,-0.308509613,-0.480758963,0.259142316,-0.278855793,0.105413978,-0.145229438,-0.082240724,-0.155666742,-0.376397397,0.048863969,-0.208383571,0.042471488,0.541921427,-0.200337227,0.262048852,0.102642742,0.24562247,0.046778406,0.235722911,0.127147405,-0.093938347,-0.04151789,0.098097887,0.16265119,0.220253834,0.18541957,-0.071261141,0.224919072,0.054564116,-0.042047124,-0.060190185,0.117896217,0.465695301,-0.368520921,-0.110879875,0.129598053,0.218223313,-0.123929182,-0.295186285,0.033659268,-0.127946366,-0.244124586,-0.148061637,-0.349902865,-0.218342975,-0.412250548,-0.415075427,-0.234530906,-0.241151872,-0.235153005,0.019688432,0.093872222,0.205723705,0.076122489
